Country,Code,Year,CO2_emissions_per_capita.,GDP_per_capita,Population
Afghanistan,AFG,2022,0.29536375,1357.9878,40578846
Albania,ALB,2022,1.7432004,12978.101,2827615
Algeria,DZA,2022,3.9272263,13506.444,45477391
Angola,AGO,2022,0.45155162,6118.905,35635028
Argentina,ARG,2022,4.2378173,18292.318,45407904
Armenia,ARM,2022,2.3045583,13837.577,2880883
Australia,AUS,2022,14.985412,52049.43,26200987
Austria,AUT,2022,6.8781943,43792.855,9064679
Azerbaijan,AZE,2022,3.6746833,17682.94,10295307
Bahrain,BHR,2022,25.672274,38651.6,1533459
Bangladesh,BGD,2022,0.5964455,4925.721,169384890
Barbados,BRB,2022,4.3772573,11545.848,282324
Belarus,BLR,2022,6.1669006,18699.799,9173241
Belgium,BEL,2022,7.6875386,41872.395,11641813
Benin,BEN,2022,0.631487,2477.0903,13759507
Bolivia,BOL,2022,1.7583066,6481.3906,12077155
Bosnia and Herzegovina,BIH,2022,6.1034565,12142.863,3204805
Botswana,BWA,2022,2.838951,16351.91,2439895
Brazil,BRA,2022,2.2454574,14640.076,210306411
Bulgaria,BGR,2022,6.8044534,20592.455,6825863
Burkina Faso,BFA,2022,0.26295447,1704.966,22509037
Burundi,BDI,2022,0.06194545,717.22845,13321101
Cambodia,KHM,2022,1.1900775,3944.2468,17201717
Cameroon,CMR,2022,0.34292704,2812.2148,27632771
Canada,CAN,2022,14.249212,45529.645,38821260
Cape Verde,CPV,2022,0.9588915,7202.767,519750
Central African Republic,CAF,2022,0.040548485,596.393,5098038
Chad,TCD,2022,0.13367727,1393.5635,18455319
Chile,CHL,2022,4.3041654,22740.72,19553032
China,CHN,2022,7.992761,19238.18,1425179562
Colombia,COL,2022,1.9223082,14468.964,51737944
Comoros,COM,2022,0.49327007,1900.3983,834192
Congo,COG,2022,1.2447897,4187.507,6035107
Costa Rica,CRI,2022,1.5226681,15496.82,5081765
Cote d'Ivoire,CIV,2022,0.41668788,4011.7122,30395003
Croatia,HRV,2022,4.348515,26986.752,3907031
Cuba,CUB,2022,1.8659163,7648.704,11059821
Cyprus,CYP,2022,5.616782,31523.498,1331376
Czechia,CZE,2022,9.3357525,32247.395,10673216
Democratic Republic of Congo,COD,2022,0.036375992,844.172,102396974
Denmark,DNK,2022,4.940161,50689.68,5902898
Djibouti,DJI,2022,0.40418932,3623.0603,1137100
Dominica,DMA,2022,2.1058853,8879.6455,66850
Dominican Republic,DOM,2022,2.1051137,17713.52,11230734
Ecuador,ECU,2022,2.3117273,10124.076,17823900
Egypt,EGY,2022,2.333106,13205.406,112618251
El Salvador,SLV,2022,1.2174718,9218.905,6280316
Equatorial Guinea,GNQ,2022,3.0307202,22707.22,1803550
Estonia,EST,2022,7.77628,30067.395,1350092
Eswatini,SWZ,2022,1.0527312,8522.45,1218921
Ethiopia,ETH,2022,0.15458965,2289.409,125384285
Finland,FIN,2022,6.5267396,40701.465,5569299
France,FRA,2022,4.603891,39065.71,66277412
Gabon,GAB,2022,2.3882635,15720.901,2430752
Gambia,GMB,2022,0.2847278,2010.5322,2636473
Georgia,GEO,2022,2.962545,14360.359,3794783
Germany,DEU,2022,7.9837584,46647.793,84086228
Ghana,GHA,2022,0.6215505,4242.4106,33149151
Greece,GRC,2022,5.7451057,25283.906,10412481
Guatemala,GTM,2022,1.0756185,7969.431,17847877
Guinea,GIN,2022,0.35742033,1809.2666,14055137
Guinea-Bissau,GNB,2022,0.15518051,1625.3876,2105537
Haiti,HTI,2022,0.21119381,1546.4222,11503604
Honduras,HND,2022,1.0696708,5186.5303,10463881
Hong Kong,HKG,2022,4.081913,48289.383,7465914
Hungary,HUN,2022,4.449911,29451.855,9684306
Iceland,ISL,2022,9.499798,42145.594,380368
India,IND,2022,1.9966822,7765.593,1425423212
Indonesia,IDN,2022,2.6456614,12801.671,278830529
Iran,IRN,2022,7.7993317,18473.066,89524247
Iraq,IRQ,2022,4.024638,13071.94,44070556
Ireland,IRL,2022,7.7211185,60257.082,5110013
Israel,ISR,2022,6.208912,36648.918,9103144
Italy,ITA,2022,5.726825,36224.293,59619106
Jamaica,JAM,2022,2.2945588,7481.6685,2839151
Japan,JPN,2022,8.501681,38268.79,124997586
Jordan,JOR,2022,2.0301995,9151.479,11256268
Kazakhstan,KAZ,2022,13.979704,26491.857,20034612
Kenya,KEN,2022,0.45998666,3403.9238,54252456
Kuwait,KWT,2022,25.578102,71533.516,4589514
Kyrgyzstan,KGZ,2022,1.4251612,5304.841,6955792
Laos,LAO,2022,3.0803475,7168.1904,7559007
Latvia,LVA,2022,3.561689,27220.303,1881058
Lebanon,LBN,2022,4.3543963,10341.159,5744494
Lesotho,LSO,2022,1.3594668,2312.9583,2286112
Liberia,LBR,2022,0.1653753,811.2146,5373296
Libya,LBY,2022,9.242238,12755.204,7223804
Lithuania,LTU,2022,4.606163,30863.32,2816922
Luxembourg,LUX,2022,11.618432,55484.777,653316
Madagascar,MDG,2022,0.14871116,1367.0938,30437263
Malawi,MWI,2022,0.10262384,1190.0509,20568731
Malaysia,MYS,2022,8.576508,26628.707,34695494
Mali,MLI,2022,0.31153768,1651.9413,23072639
Malta,MLT,2022,3.1035979,34496.34,528194
Mauritania,MRT,2022,0.957337,3680.3662,4875645
Mauritius,MUS,2022,3.2697906,20643.094,1276134
Mexico,MEX,2022,4.0153365,16235.455,128613113
Moldova,MDA,2022,1.6565942,6674.871,3039987
Mongolia,MNG,2022,11.150772,13442.906,3386015
Montenegro,MNE,2022,3.6558185,20941.805,614650
Morocco,MAR,2022,1.8263615,8400.127,37329069
Mozambique,MOZ,2022,0.24274588,1087.836,32656240
Myanmar,MMR,2022,0.6445672,5177.4326,53756790
Namibia,NAM,2022,1.5399038,7979.328,2889668
Nepal,NPL,2022,0.5074035,3013.5178,29715434
Netherlands,NLD,2022,7.1372175,49669.867,17904422
New Zealand,NZL,2022,6.212154,38250.12,5131733
Nicaragua,NIC,2022,0.79879653,5092.8413,6730661
Niger,NER,2022,0.116688,1007.72095,25311977
Nigeria,NGA,2022,0.5891771,5070.4927,223150906
North Korea,PRK,2022,1.9513915,1568.847,26328842
North Macedonia,MKD,2022,3.6245701,14050.995,1840236
Norway,NOR,2022,7.5093055,88366.22,5456795
Oman,OMN,2022,15.730261,47988.65,4730227
Pakistan,PAK,2022,0.84893465,5531.723,243700667
Palestine,PSE,2022,0.6660658,4775.202,5305274
Panama,PAN,2022,2.699258,23557.02,4400772
Paraguay,PRY,2022,1.3299496,8762.771,6760461
Peru,PER,2022,1.7891879,12762.967,33475435
Philippines,PHL,2022,1.3014648,8370.666,113964342
Poland,POL,2022,8.106886,32468.402,38385734
Portugal,PRT,2022,4.050785,28992.059,10417075
Qatar,QAT,2022,37.601273,149171.11,2892465
Romania,ROU,2022,3.739777,26197.904,19166776
Russia,RUS,2022,11.416899,25437.107,145579890
Rwanda,RWA,2022,0.112346195,2198.0662,13651026
Saint Lucia,LCA,2022,2.6149206,10452.165,178794
Sao Tome and Principe,STP,2022,0.5816142,3751.6428,226313
Saudi Arabia,SAU,2022,18.197495,53516.91,32175352
Senegal,SEN,2022,0.6738352,2660.6816,17651099
Serbia,SRB,2022,6.024712,17097.686,6791218
Seychelles,SYC,2022,6.1495123,31055.39,125532
Sierra Leone,SLE,2022,0.13124847,1690.4982,8276808
Singapore,SGP,2022,8.911513,80320.086,5649886
Slovakia,SVK,2022,6.051555,27519.287,5473194
Slovenia,SVN,2022,5.9979916,32673.762,2115230
