Entity,Code,Year,Fugitive.emissions.of.nitrous.oxide.from.energy.production,Sector,Nitrous Oxide Emissions
World,OWID_WRL,2020,6430000,Agriculture,2330280000
World,OWID_WRL,2020,6430000,Industry,266420020
World,OWID_WRL,2020,6430000,Other Fuel Combustion,2130000
World,OWID_WRL,2020,6430000,Waste,144950000
World,OWID_WRL,2020,6430000,Land Use Change and Forestry,108800000
World,OWID_WRL,2020,6430000,Buildings,36400000
World,OWID_WRL,2020,6430000,Electricity and Heat,58620000
World,OWID_WRL,2020,6430000,Manufacturing and Construction,26200000
World,OWID_WRL,2020,6430000,Bunker Fuels,7400000
World,OWID_WRL,2020,6430000,Transport,146460000
