Country,Code,Year,Nitrous_Oxide_emissions,Methane_emissions,CO2_emissions,Total_Emissions,Nitrous_Oxide_Percentage,Methane_Percentage,CO2_Percentage
World,OWID_WRL,1950,1003508000,3655735600,11859315000,16518558600,6.07503369,22.1310811,71.79388521
World,OWID_WRL,1951,1020493400,3781375000,12381128000,17182996400,5.93897232,22.00649358,72.0545341
World,OWID_WRL,1952,1038580160,3868934100,12605430000,17512944260,5.930357252,22.09185413,71.97778862
World,OWID_WRL,1953,1057863700,3968627200,12895349000,17921839900,5.902651212,22.14408354,71.95326524
World,OWID_WRL,1954,1078439200,4080287700,13188833000,18347559900,5.877834469,22.2388575,71.88330804
World,OWID_WRL,1955,1100401800,4284808200,14039569000,19424779000,5.664938582,22.05846563,72.27659579
World,OWID_WRL,1956,1123847000,4428571000,14706745000,20259163000,5.547351586,21.85959509,72.59305333
World,OWID_WRL,1957,1148870300,4570263600,15124513000,20843646900,5.511848793,21.92641058,72.56174062
World,OWID_WRL,1958,1175566600,4674362400,15580667000,21430596000,5.4854592,21.81163044,72.70291036
World,OWID_WRL,1959,1204031200,4887778300,16403755000,22495564500,5.352304895,21.72774237,72.91995273
World,OWID_WRL,1960,1234359900,5037093400,15969804000,22241257300,5.549865654,22.64752092,71.80261343
World,OWID_WRL,1961,1306421200,5093045000,15689702000,22089168200,5.914306905,23.05675322,71.02893988
World,OWID_WRL,1962,1351319900,5184802000,15538028000,22074149900,6.121730196,23.4881163,70.39015351
World,OWID_WRL,1963,1395579100,5324968000,15847396000,22567943100,6.183900295,23.59527395,70.22082575
World,OWID_WRL,1964,1445608400,5443405300,16235159000,23124172700,6.251503216,23.53989209,70.2086047
World,OWID_WRL,1965,1502395400,5600457700,16181429000,23284282100,6.45240164,24.05252469,69.49507367
World,OWID_WRL,1966,1565935900,5818159000,16535396000,23919490900,6.546694102,24.32392489,69.12938101
World,OWID_WRL,1967,1622444700,5901971500,17022173000,24546589200,6.609654347,24.0439576,69.34638805
World,OWID_WRL,1968,1674068900,6009331700,17730890000,25414290600,6.587116384,23.64548275,69.76740087
World,OWID_WRL,1969,1713399400,6207558700,18247290000,26168248100,6.547627466,23.7217206,69.73065193
World,OWID_WRL,1970,1733136000,6380700700,19564257000,27678093700,6.261760722,23.05325204,70.68498724
World,OWID_WRL,1971,1721748500,6400896500,19850500000,27973145000,6.155005095,22.88229121,70.96270369
World,OWID_WRL,1972,1781381500,6535773700,20543357000,28860512200,6.172383524,22.6460766,71.18153988
World,OWID_WRL,1973,1838348300,6701360000,21242071000,29781779300,6.172728236,22.50154342,71.32572835
World,OWID_WRL,1974,1853733800,6732541000,21074823000,29661097800,6.249714061,22.69821921,71.05206672
World,OWID_WRL,1975,1909274100,6838506000,21206071000,29953851100,6.374052183,22.83013953,70.79580829
World,OWID_WRL,1976,1960862800,6940657700,22128361000,31029881500,6.319272602,22.36765777,71.31306963
World,OWID_WRL,1977,2005145100,7034889000,22627277000,31667311100,6.3319083,22.21498686,71.45310484
World,OWID_WRL,1978,2045400300,7078635500,23056103000,32180138800,6.356095332,21.99690792,71.64699675
World,OWID_WRL,1979,2102052700,7258599400,23366150000,32726802100,6.423031171,22.17937267,71.39759616
World,OWID_WRL,1980,2114992600,7223191600,23434297000,32772481200,6.453562631,22.04041725,71.50602012
World,OWID_WRL,1981,2068633300,7061930500,23251036000,32381599800,6.388298641,21.80846698,71.80323438
World,OWID_WRL,1982,2108318100,7152942000,23161694000,32422954100,6.502547835,22.0613519,71.43610027
World,OWID_WRL,1983,2146789400,7169005600,23779402000,33095197000,6.486709839,21.66177044,71.85151972
World,OWID_WRL,1984,2159491600,7277242400,25241764000,34678498000,6.227177429,20.98488349,72.78793909
